#table for averaged Tdust
#dust/gas mass ratio = 0.009
#metallicity Z = 1
#redshift = 3
#ngas = 1d-6, 1d6 cm-3
#Tgas = 10,1e8 K
#power-law exponent = -3.5
#dust size = 5d-7, 2.5d-5 cm
#dust type = C
#dust bins = 20
#radiation energy = 2d-3, 1.2d3 eV
#radiation bins = 100
#flux: HM2012
#columns: ngas (cm-3), Tgas (K), <Tdust> (K)

          30 ,          30
 -0.62068966E+000  0.63103448E+001  0.21291109E+001
 -0.62068966E+000  0.65517241E+001  0.21484438E+001
 -0.62068966E+000  0.67931034E+001  0.21685814E+001
 -0.62068966E+000  0.70344828E+001  0.21895879E+001
 -0.62068966E+000  0.72758621E+001  0.22115344E+001
 -0.62068966E+000  0.75172414E+001  0.22345006E+001
 -0.62068966E+000  0.77586207E+001  0.22585750E+001
 -0.62068966E+000  0.80000000E+001  0.22838569E+001
 
 -0.20689655E+000  0.10000000E+001  0.10213350E+001
 -0.20689655E+000  0.12413793E+001  0.12627143E+001
